92,石狩沼田,石狩沼田,20038,石狩沼田,20038,,43.810173,141.934014,False
93,恵比島,恵比島,20064,恵比島,20064,,43.851279,141.881266,False
94,峠下,峠下,20343,峠下,20343,,43.851278,141.818744,False
95,幌糠,幌糠,20522,幌糠,20522,,43.855498,141.758249,False
96,藤山,藤山,20502,藤山,20502,,43.887216,141.72025,False
97,大和田,大和田,20080,大和田(北海道),20080,,43.913379,141.696529,True
98,留萌,留萌,20608,留萌,20608,,43.942932,141.651809,False
103,北秩父別,北秩父別,20158,北秩父別,20158,,43.789398,141.961068,False
104,真布,真布,20531,真布,20531,,43.833169,141.906681,False
110,桂台,桂台,20118,桂台,20118,,44.01708,144.273143,False
111,学田,学田,20146,学田,20146,,43.366534,142.386413,False
112,鹿討,鹿討,20237,鹿討,20237,,43.387559,142.40491,False
113,中富良野,中富良野,20379,中富良野,20379,,43.405724,142.42088,False
114,西中,西中,20410,西中,20410,,43.429667,142.442045,False
115,上富良野,上富良野,20136,上富良野,20136,,43.464135,142.468763,False
116,美馬牛,美馬牛,20492,美馬牛,20492,,43.537405,142.44715,False
117,美瑛,美瑛,20490,美瑛,20490,,43.591233,142.461619,False
118,北美瑛,北美瑛,20165,北美瑛,20165,,43.617897,142.47956,False
119,千代ケ岡,千代ケ岡,20328,千代ケ岡,20328,,43.643811,142.451173,False
120,西聖和,西聖和,20403,西聖和,20403,,43.66889,142.415119,False
121,西神楽,西神楽,20393,西神楽,20393,,43.682166,142.393704,False
122,西瑞穂,西瑞穂,20414,西瑞穂,20414,,43.702442,142.382093,False
123,西御料,西御料,20397,西御料,20397,,43.720689,142.371676,False
124,神楽岡,神楽岡,20114,神楽岡,20114,,43.745215,142.358287,False
125,緑が丘,緑が丘,29091,緑が丘(北海道),29091,,43.730189,142.366204,True
126,ラベンダー畑,ラベンダー畑,29287,ラベンダー畑,29287,,43.41689,142.43074,False
127,新旭川,新旭川,20266,新旭川,20266,,43.780156,142.3847,False
128,永山,永山,20380,永山,20380,,43.814264,142.434361,False
129,北永山,北永山,20160,北永山,20160,,43.826847,142.454526,False
131,比布,比布,20497,比布,20497,,43.87462,142.471466,False
133,蘭留,蘭留,20605,蘭留,20605,,43.924892,142.473408,False
134,塩狩,塩狩,20233,塩狩,20233,,43.968082,142.454936,False
135,和寒,和寒,20614,和寒,20614,,44.02738,142.415353,False
137,剣淵,剣淵,20189,剣淵,20189,,44.096261,142.364521,False
138,士別,士別,20246,士別,20246,,44.172197,142.387737,False
140,多寄,多寄,20310,多寄,20310,,44.241218,142.396317,False
141,風連,風連,20498,風連,20498,,44.292352,142.421729,False
142,名寄高校,名寄高校,20472,名寄高校,20472,,44.330987,142.465445,False
143,名寄,名寄,20384,名寄,20384,,44.349235,142.465445,False
144,日進,日進,20388,日進(北海道),20388,,44.381788,142.467277,True
147,智恵文,智恵文,20323,智恵文,20323,,44.455112,142.415055,False
149,美深,美深,20494,美深,20494,,44.483164,142.350615,False
150,初野,初野,20447,初野,20447,,44.512605,142.33617,False
152,恩根内,恩根内,20110,恩根内,20110,,44.598456,142.309224,False
153,豊清水（信）,豊清水（信）,,,,,,,False
154,咲来,咲来,20206,咲来,20206,,44.692862,142.267557,False
155,音威子府,音威子府,20102,音威子府,20102,,44.729525,142.259778,False
156,筬島,筬島,20085,筬島,20085,,44.738689,142.197838,False
157,佐久,佐久,20215,佐久,20215,,44.743686,142.048961,False
158,天塩中川,天塩中川,20336,天塩中川,20336,,44.811929,142.075372,False
160,問寒別,問寒別,20341,問寒別,20341,,44.912279,142.025345,False
161,雄信内,雄信内,20104,雄信内,20104,,44.911777,141.936046,False
163,南幌延,南幌延,20559,南幌延,20559,,44.965326,141.884798,False
165,幌延,幌延,20523,幌延,20523,,45.014209,141.846188,False
166,下沼,下沼,20257,下沼,20257,,45.037204,141.758166,False
167,豊富,豊富,20363,豊富,20363,,45.104726,141.772051,False
169,兜沼,兜沼,20121,兜沼,20121,,45.220239,141.697107,False
170,勇知,勇知,20592,勇知,20592,,45.25918,141.685357,False
171,抜海,抜海,20455,抜海,20455,,45.316674,141.644802,False
172,南稚内,南稚内,20561,南稚内,20561,,45.398054,141.682851,False
173,稚内,稚内,20612,稚内,20612,,45.416386,141.677295,False
174,旭川四条,旭川四条,20014,旭川四条,20014,,43.764075,142.375924,False
176,瑞穂,瑞穂,20545,瑞穂,20545,,44.266521,142.396455,False
177,智北,智北,20327,智北,20327,,44.461223,142.394501,False
178,天塩川温泉,天塩川温泉,20335,天塩川温泉,20335,,44.665365,142.25867,False
179,糠南,糠南,20421,糠南,20421,,44.921166,142.00118,False
181,東旭川,東旭川,20459,東旭川,20459,,43.776491,142.441556,False
182,桜岡,桜岡,20216,桜岡,20216,,43.801767,142.486802,False
183,当麻,当麻,20344,当麻,20344,,43.825542,142.516882,False
184,伊香牛,伊香牛,20029,伊香牛,20029,,43.875898,142.525212,False
185,愛別,愛別,20007,愛別,20007,,43.898647,142.582067,False
186,中愛別,中愛別,20369,中愛別,20369,,43.896259,142.655589,False
187,安足間,安足間,20028,安足間,20028,,43.85207,142.693754,False
188,上川,上川,20129,上川,20129,,43.848489,142.766832,False
189,中越（信）,中越（信）,,,,,,,False
190,奥白滝（信）,奥白滝（信）,,,,,,,False
192,白滝,白滝,20261,白滝,20261,,43.884548,143.181073,False
194,下白滝（信）,下白滝（信）,,,,,,,False
195,丸瀬布,丸瀬布,20538,丸瀬布,20538,,44.006315,143.335777,False
196,瀬戸瀬,瀬戸瀬,20295,瀬戸瀬,20295,,44.008789,143.421104,False
197,遠軽,遠軽,20068,遠軽,20068,,44.059923,143.52026,False
198,安国,安国,20584,安国,20584,,43.993431,143.535899,False
199,生田原,生田原,20030,生田原,20030,,43.9238,143.534709,False
200,金華（信）,金華（信）,,,,,,,False
201,留辺蘂,留辺蘂,20607,留辺蘂,20607,,43.785288,143.62243,False
202,相内,相内,20006,相内,20006,,43.79604,143.75553,False
203,東相内,東相内,20458,東相内,20458,,43.805289,143.81008,False
204,北見,北見,20168,北見,20168,,43.804902,143.897934,False
205,端野,端野,20311,端野,20311,,43.851064,143.942373,False
206,緋牛内,緋牛内,20457,緋牛内,20457,,43.880423,143.999395,False
207,美幌,美幌,20495,美幌,20495,,43.836541,144.105888,False
208,西女満別,西女満別,20415,西女満別,20415,,43.879982,144.14841,False
209,女満別,女満別,20569,女満別,20569,,43.915951,144.171101,False
210,呼人,呼人,20602,呼人,20602,,43.963557,144.219067,False
211,網走,網走,20025,網走,20025,,44.019913,144.25445,False
212,南永山,南永山,20555,南永山,20555,,43.780601,142.408559,False
213,西北見,西北見,20395,西北見,20395,,43.803096,143.842189,False
214,愛し野,愛し野,20047,愛し野,20047,,43.841316,143.932735,False
217,愛山,愛山,20004,愛山,20004,,43.866291,142.680894,False
221,柏陽,柏陽,20439,柏陽,20439,,43.824373,143.916349,False
222,西留辺蘂,西留辺蘂,29320,西留辺蘂,29320,,43.785371,143.603348,False
223,目名,目名,20568,目名,20568,,42.761426,140.465712,False
224,蘭越,蘭越,20603,蘭越,20603,,42.804562,140.528899,False
225,昆布,昆布,20201,昆布,20201,,42.797924,140.596199,False
226,ニセコ,ニセコ,20419,ニセコ,20419,,42.808702,140.684497,False
227,比羅夫,比羅夫,20488,比羅夫,20488,,42.848643,140.722631,False
228,倶知安,倶知安,20176,倶知安,20176,,42.901749,140.745487,False
229,小沢,小沢,20193,小沢(北海道),20193,,42.971907,140.677629,False
230,銀山,銀山,20175,銀山,20175,,43.041039,140.715289,False
