trans_id,lang,translation
東二丁目,ja-Hrkt,ひがしにちょうめ
東二丁目,en,Higashi 2chome
東大通,ja,東大通
東大通,ja-Hrkt,ひがしおおどおり
東大通,en,Higashi Oōdōri
松林寺口,ja,松林寺口
松林寺口,ja-Hrkt,しょうりんじぐち
松林寺口,en,Shōrin Temple Entrance
栄養大・米短前,ja,栄養大・米短前
栄養大・米短前,ja-Hrkt,えいようだい・よねたんまえ
栄養大・米短前,en,Eiyodai･Yonetan mae
桑山公園前,ja,桑山公園前
桑山公園前,ja-Hrkt,くわやまこうえんまえ
桑山公園前,en,Kuwayama Park
桑山団地中,ja,桑山団地中
桑山団地中,ja-Hrkt,くわやまだんちなか
桑山団地中,en,Kuwayama Danchi Middle
桑山団地口,ja,桑山団地口
桑山団地口,ja-Hrkt,くわやまだんちぐち
桑山団地口,en,Kuwayama Danchi Entrance
桑山団地東,ja,桑山団地東
桑山団地東,ja-Hrkt,くわやまだんちひがし
桑山団地東,en,Kuwayama Danchi East
桑山団地西,ja,桑山団地西
桑山団地西,ja-Hrkt,くわやまだんちにし
桑山団地西,en,Kuwayama Danchi West
梓山,ja,梓山
梓山,ja-Hrkt,ずさやま
梓山,en,Zusayama
梓川,ja,梓川
梓川,ja-Hrkt,あずさがわ
梓川,en,Azusagawa
梓神社前,ja,梓神社前
梓神社前,ja-Hrkt,あずさじんじゃまえ
梓神社前,en,Azusa Jinja Shrine
法泉寺西,ja,法泉寺西
法泉寺西,ja-Hrkt,ほうせんじにし
法泉寺西,en,Hōsen Temple West
片子,ja,片子
片子,ja-Hrkt,かたこ
片子,en,Katako
牛森,ja,牛森
牛森,ja-Hrkt,うしもり
牛森,en,Ushimori
皇大神社前,ja,皇大神社前
皇大神社前,ja-Hrkt,こうたいじんじゃまえ
皇大神社前,en,Koutai Jinja Shrine
相生橋西,ja,相生橋西
相生橋西,ja-Hrkt,あいおいばしにし
相生橋西,en,Aioi Bridge West
県営相生ｱﾊﾟｰﾄ東,ja,県営相生ｱﾊﾟｰﾄ東
県営相生ｱﾊﾟｰﾄ東,ja-Hrkt,けんえいあいおいあぱーとひがし
県営相生ｱﾊﾟｰﾄ東,en,Prefectural Aioi Apartments East
福田町一丁目,ja,福田町一丁目
福田町一丁目,ja-Hrkt,ふくだまちいっちょうめ
福田町一丁目,en,Fukudamachi 1-Chōme
福田町二丁目,ja,福田町二丁目
福田町二丁目,ja-Hrkt,ふくだまちにちょうめ
福田町二丁目,en,Fukudamachi 2-Chōme
福田町西,ja,福田町西
福田町西,ja-Hrkt,ふくだまちにし
福田町西,en,Fukudamachi West
福祉の里入口,ja,福祉の里入口
福祉の里入口,ja-Hrkt,ふくしさのさといりぐち
福祉の里入口,en,Fukushi no Sato Entrance
税務署前,ja,税務署前
税務署前,ja-Hrkt,ぜいむしょまえ
税務署前,en,Tax Office
米工前,ja,米工前
米工前,ja-Hrkt,よねこうまえ
米工前,en,Yonezawa KōgyōHigh School
米沢スキー場前,ja,米沢スキー場前
米沢スキー場前,ja-Hrkt,よねざわすきーじょうまえ
米沢スキー場前,en,Yonezawa Ski Area
米沢営業所,ja,米沢営業所
米沢営業所,ja-Hrkt,よねざわえいぎょうしょ
米沢営業所,en,Yonezawa Eigyōsho
米沢市役所前,ja,米沢市役所前
米沢市役所前,ja-Hrkt,よねざわしやくしょまえ
米沢市役所前,en,Yonezawa City Hall
米沢駅前,ja,米沢駅前
米沢駅前,ja-Hrkt,よねざわえきまえ
米沢駅前,en,Yonezawa Station
総合公園口,ja,総合公園口
総合公園口,ja-Hrkt,そうごうこうえんぐち
総合公園口,en,Municipal Park Entrance
興望館前,ja,興望館前
興望館前,ja-Hrkt,こうぼうかんまえ
興望館前,en,Cobokan mae
舟山病院前,ja,舟山病院前
舟山病院前,ja-Hrkt,ふなやまびょういんまえ
舟山病院前,en,Funayama Hospital
西部こども園前,ja,西部こども園前
西部こども園前,ja-Hrkt,せいぶこどもえんまえ
西部こども園前,en,Seibu Childcare Center
西部ｺﾐｭﾆﾃｨｾﾝﾀｰ前,ja,西部ｺﾐｭﾆﾃｨｾﾝﾀｰ前
西部ｺﾐｭﾆﾃｨｾﾝﾀｰ前,ja-Hrkt,せいぶこみゅにてぃせんたーまえ
西部ｺﾐｭﾆﾃｨｾﾝﾀｰ前,en,Seibu Community Center
通町三丁目,ja,通町三丁目
通町三丁目,ja-Hrkt,とおりまちさんちょうめ
通町三丁目,en,Torimachi 3chome
通町二丁目,ja,通町二丁目
通町二丁目,ja-Hrkt,とおりまちにちょうめ
通町二丁目,en,Torimachi 2chome
通町八丁目,ja,通町八丁目
通町八丁目,ja-Hrkt,とおりまちはっちょうめ
通町八丁目,en,Torimachi 8chome
通町六丁目,ja,通町六丁目
通町六丁目,ja-Hrkt,とおりまちろくちょうめ
通町六丁目,en,Torimachi 6chome
通町郵便局前,ja,通町郵便局前
通町郵便局前,ja-Hrkt,とおりまちゆうびんきょくまえ
通町郵便局前,en,Torimachi yubinkyoku mae
金池一丁目,ja,金池一丁目
金池一丁目,ja-Hrkt,かないけいっちょうめ
金池一丁目,en,Kanaike 1-Chōme
金谷口,ja,金谷口
金谷口,ja-Hrkt,かなやぐち
金谷口,en,Kanaya Entrance
門東町,ja,門東町
門東町,ja-Hrkt,もんとうまち
門東町,en,Montomachi
駅前二丁目,ja,駅前二丁目
駅前二丁目,ja-Hrkt,えきまえにちょうめ
駅前二丁目,en,Ekimae 2-Chōme
駅前四丁目,ja,駅前四丁目
駅前四丁目,ja-Hrkt,えきまえよんちょうめ
駅前四丁目,en,Ekimae 4-Chōme
万世線,ja,万世線
万世線,en,Bansei Line
万世線（直行便）,ja,万世線（直行便）
万世線（直行便）,en,Bansei Line
市街地循環路線（右回り）,ja,市街地循環路線（右回り）
市街地循環路線（右回り）,en,Junkan Line
市街地循環路線（左回り）,ja,市街地循環路線（左回り）
市街地循環路線（左回り）,en,Junkan Line
