stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
79_02,,吾妻町南,,37.889408,140.119538,79_02,,0,
8_01,,松林寺口,,37.891404,140.171284,8_01,,0,
8_02,,松林寺口,,37.891768,140.170709,8_02,,0,
80_01,,太田町五丁目,,37.890347,140.115217,80_01,,0,
80_02,,太田町五丁目,,37.889968,140.116407,80_02,,0,
81_01,,興望館前,,37.893568,140.114126,81_01,,0,
81_02,,興望館前,,37.893727,140.114253,81_02,,0,
82_01,,太田町三丁目,,37.89694,140.113743,82_01,,0,
82_02,,太田町三丁目,,37.897779,140.113366,82_02,,0,
83_01,,太田町二丁目,,37.899316,140.112635,83_01,,0,
83_02,,太田町二丁目,,37.899419,140.112693,83_02,,0,
84_01,,本町,,37.902266,140.11119,84_01,,0,
84_02,,本町,,37.902257,140.111289,84_02,,0,
85_01,,南部小前,,37.904092,140.10819,85_01,,0,
85_02,,南部小前,,37.903928,140.108237,85_02,,0,
86_01,,九里学園前,,37.90707,140.109047,86_01,,0,
86_02,,九里学園前,,37.907519,140.109352,86_02,,0,
87_01,,門東町,,37.91082,140.110184,87_01,,0,
87_02,,門東町,,37.911189,140.110415,87_02,,0,
9_01,,梓神社前,,37.89319,140.167167,9_01,,0,
